"id_bibrec","status","docname"
16202,"status:PA16JU","PAL_E3428"
16201,"status:PA16JU","PAL_E3427"
16200,"status:PA16JU","PAL_E3411"
16199,"status:PA16JU","PAL_E3410"
16198,"status:PA16JU","PAL_E3408"
16197,"status:PA16JU","PAL_E3407"
16196,"status:PA16JU","PAL_E3406"
16195,"status:PA16JU","PAL_E3405"
16194,"status:PA16JU","PAL_E3403"
16193,"status:PA16JU","PAL_E3402"
16192,"status:PA16JU","PAL_E3401"
16191,"status:PA16JU","PAL_E3400"
16190,"status:PA16JU","PAL_E3399"
16189,"status:PA16JU","PAL_E3398"
16188,"status:PA16JU","PAL_E3397"
16187,"status:PA16JU","PAL_E3396"
16186,"status:PA16JU","PAL_E3394"
16185,"status:PA16JU","PAL_E3392"
16184,"status:PA16JU","PAL_E3391"
16183,"status:PA16JU","PAL_E3390"
16182,"status:PA16JU","PAL_E3388"
16181,"status:PA16JU","PAL_E3386"
16180,"status:PA16JU","PAL_E3385"
16179,"status:PA16JU","PAL_E3383"
16178,"status:PA16JU","PAL_E3382"
16177,"status:PA16JU","PAL_E3381"
16176,"status:PA16JU","PAL_E3380"
16175,"status:PA16JU","PAL_E3379"
16174,"status:PA16JU","PAL_E3378"
16173,"status:PA16JU","PAL_E3377"
16172,"status:PA16JU","PAL_E3376"
16171,"status:PA16JU","PAL_E3375"
16170,"status:PA16JU","PAL_E3374"
16169,"status:PA16JU","PAL_E3373"
16168,"status:PA16JU","PAL_E3372"
16167,"status:PA16JU","PAL_E3369"
16166,"status:PA16JU","PAL_E3368"
16165,"status:PA16JU","PAL_E3367"
16164,"status:PA16JU","PAL_E3364"
16163,"status:PA16JU","PAL_E3362"
16162,"status:PA16JU","PAL_E3212"
16161,"status:PA16JU","PAL_E3209"
16160,"status:PA16JU","PAL_E3205"
16159,"status:PA16JU","PAL_E3159"
16158,"status:PA16JU","PAL_E3145"
16157,"status:PA16JU","PAL_E3102"
16156,"status:PA16JU","PAL_E3107"
16155,"status:PA16JU","PAL_E2897"
16154,"status:PA16JU","PAL_E2729"
16153,"status:PA16JU","PAL_E2499"
16152,"status:PA16JU","PAL_E2450"
16151,"status:PA16JU","PAL_E2427"
16150,"status:PA16JU","PAL_E2405"
16149,"status:PA16JU","PAL_E3116"
16148,"status:PA16JU","PAL_E3083"
16147,"status:PA16JU","PAL_E3071"
16146,"status:PA16JU","PAL_E3064"
16145,"status:PA16JU","PAL_E3061"
16144,"status:PA16JU","PAL_E3057"
16143,"status:PA16JU","PAL_E3046"
16142,"status:PA16JU","PAL_E3042"
16141,"status:PA16JU","PAL_E3037"
16140,"status:PA16JU","PAL_E3014"
16139,"status:PA16JU","PAL_E2994"
16138,"status:PA16JU","PAL_E2969"
16137,"status:PA16JU","PAL_E2946"
16136,"status:PA16JU","PAL_E2943"
16135,"status:PA16JU","PAL_E2923"
16134,"status:PA16JU","PAL_E2902"
16133,"status:PA16JU","PAL_E2901"
16132,"status:PA16JU","PAL_E2702"
16131,"status:PA16JU","PAL_E2682"
16130,"status:PA16JU","PAL_E3226"
16129,"status:PA16JU","PAL_E2517"
16128,"status:PA16JU","PAL_E3219"
16127,"status:PA16JU","PAL_E2504"
16126,"status:PA16JU","PAL_E2503"
16125,"status:PA16JU","PAL_E2393"
16124,"status:PA16JU","PAL_E2378"
16123,"status:PA16JU","PAL_E2351"
16122,"status:PA16JU","PAL_E2231"
16121,"status:PA16JU","PAL_E3214"
16120,"status:PA16JU","PAL_E2122"
16119,"status:PA16JU","PAL_E2079"
16118,"status:PA16JU","PAL_E1977"
16117,"status:PA16JU","PAL_E1925"
16116,"status:PA16JU","PAL_E1843"
16115,"status:PA16JU","PAL_E1585"
16114,"status:PA16JU","PAL_E1343"
